sample	SRR23814147	SRR23814148	SRR23814152	SRR23814180	SRR23814181	SRR23814184	SRR23814185	SRR23814186	SRR23814187	SRR23814188
SRR23814147	0.0	0.00984	0.01025	0.00989	0.00999	0.01297	0.01014	0.0108	0.01031	0.01095
SRR23814148	0.00984	0.0	0.01716	0.01711	0.01712	0.01964	0.01715	0.01775	0.01728	0.01791
SRR23814152	0.01025	0.01716	0.0	0.01751	0.01756	0.01986	0.01741	0.018	0.01755	0.01826
SRR23814180	0.00989	0.01711	0.01751	0.0	0.01333	0.01976	0.01734	0.01789	0.01753	0.01815
SRR23814181	0.00999	0.01712	0.01756	0.01333	0.0	0.0198	0.01735	0.01791	0.01753	0.01824
SRR23814184	0.01297	0.01964	0.01986	0.01976	0.0198	0.0	0.01991	0.02045	0.01987	0.0207
SRR23814185	0.01014	0.01715	0.01741	0.01734	0.01735	0.01991	0.0	0.01407	0.01739	0.01811
SRR23814186	0.0108	0.01775	0.018	0.01789	0.01791	0.02045	0.01407	0.0	0.01796	0.01867
SRR23814187	0.01031	0.01728	0.01755	0.01753	0.01753	0.01987	0.01739	0.01796	0.0	0.01835
SRR23814188	0.01095	0.01791	0.01826	0.01815	0.01824	0.0207	0.01811	0.01867	0.01835	0.0
