sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00481	0.00291	0.00467	0.00154	0.0048	0.00523	0.00151	0.00373	0.00525
SRR27281424	0.00242	0.0	0.00201	0.00317	0.00236	0.00352	0.00316	0.00147	0.00287	0.00298
SRR27281435	0.00264	0.00413	0.0	0.0041	0.00156	0.00475	0.00503	0.00128	0.00353	0.00444
SRR27281446	0.00239	0.00329	0.0021	0.0	0.00237	0.00352	0.00308	0.00164	0.00287	0.00353
SRR27281455	0.00488	0.00806	0.00516	0.00795	0.0	0.00903	0.00891	0.00326	0.00696	0.00802
SRR27281466	0.00208	0.0032	0.00231	0.00308	0.00302	0.0	0.00356	0.00169	0.00282	0.00338
SRR27281477	0.00224	0.00258	0.00232	0.00236	0.00262	0.00329	0.0	0.00182	0.00278	0.003
SRR27281489	0.00284	0.0052	0.00287	0.00525	0.00123	0.00574	0.00615	0.0	0.00445	0.00573
SRR27281516	0.00239	0.00392	0.00245	0.00379	0.0023	0.00419	0.00442	0.00178	0.0	0.00377
SRR27281517	0.00268	0.00281	0.00214	0.00324	0.00214	0.00353	0.00342	0.00183	0.00254	0.0
