sample	SRR1607296	SRR1607299	SRR1607302	SRR1607306	SRR1607310	SRR1607312	SRR1607316	SRR1607318	SRR1607320	SRR1607323
SRR1607296	0.0	0.00117	0.00085	0.00142	0.00062	0.00107	0.00064	0.00125	0.00089	0.00095
SRR1607299	0.00117	0.0	0.00089	0.00096	0.00092	0.00098	0.001	0.00163	0.00082	0.0012
SRR1607302	0.00085	0.00089	0.0	0.0011	0.00094	0.00065	0.00045	0.00122	0.00109	0.0009
SRR1607306	0.00142	0.00096	0.0011	0.0	0.00083	0.00093	0.00111	0.00177	0.00103	0.00122
SRR1607310	0.00062	0.00092	0.00094	0.00083	0.0	0.00077	0.0005	0.00178	0.00062	0.00097
SRR1607312	0.00107	0.00098	0.00065	0.00093	0.00077	0.0	0.00098	0.00152	0.00089	0.00106
SRR1607316	0.00064	0.001	0.00045	0.00111	0.0005	0.00098	0.0	0.00152	0.00018	0.00089
SRR1607318	0.00125	0.00163	0.00122	0.00177	0.00178	0.00152	0.00152	0.0	0.00214	0.00179
SRR1607320	0.00089	0.00082	0.00109	0.00103	0.00062	0.00089	0.00018	0.00214	0.0	0.00084
SRR1607323	0.00095	0.0012	0.0009	0.00122	0.00097	0.00106	0.00089	0.00179	0.00084	0.0
