sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00478	0.00514	0.00454	0.00741	0.00465	0.00463	0.00565	0.00472	0.00471
SRR27281424	0.00479	0.0	0.00489	0.00314	0.00768	0.00319	0.00306	0.00551	0.00379	0.00332
SRR27281435	0.00514	0.00489	0.0	0.00456	0.00746	0.00476	0.0047	0.00565	0.00475	0.00466
SRR27281446	0.00455	0.00315	0.00457	0.0	0.00744	0.00325	0.00298	0.00519	0.0036	0.00318
SRR27281455	0.00739	0.00765	0.00744	0.00741	0.0	0.00782	0.00764	0.00733	0.00754	0.00772
SRR27281466	0.00466	0.00319	0.00477	0.00325	0.00786	0.0	0.00301	0.00544	0.00377	0.00326
SRR27281477	0.00464	0.00306	0.00471	0.00298	0.00768	0.00301	0.0	0.0055	0.00356	0.00306
SRR27281489	0.00565	0.00549	0.00565	0.00517	0.00734	0.00542	0.00548	0.0	0.00534	0.00543
SRR27281516	0.00472	0.00379	0.00475	0.0036	0.00757	0.00377	0.00355	0.00535	0.0	0.00375
SRR27281517	0.00471	0.00332	0.00467	0.00318	0.00775	0.00325	0.00306	0.00544	0.00375	0.0
