sample	SRR23814149	SRR23814150	SRR23814151	SRR23814153	SRR23814154	SRR23814155	SRR23814156	SRR23814157	SRR23814158	SRR23814160	SRR23814161	SRR23814162	SRR23814164
SRR23814149	0.0	0.0039	0.00413	0.00406	0.00418	0.0044	0.0041	0.00445	0.0041	0.00398	0.00415	0.00386	0.00406
SRR23814150	0.0039	0.0	0.00405	0.00398	0.00404	0.00428	0.00389	0.00438	0.00382	0.00396	0.004	0.00387	0.00394
SRR23814151	0.00413	0.00406	0.0	0.00422	0.00427	0.00459	0.00405	0.00456	0.00416	0.00418	0.00429	0.00398	0.00412
SRR23814153	0.00406	0.00398	0.00422	0.0	0.00411	0.00449	0.00398	0.00452	0.00404	0.00418	0.00418	0.00401	0.00393
SRR23814154	0.00418	0.00405	0.00427	0.00411	0.0	0.00443	0.00416	0.00457	0.0042	0.00425	0.00427	0.00411	0.00414
SRR23814155	0.0044	0.00428	0.00458	0.00449	0.00443	0.0	0.00436	0.00465	0.00441	0.0043	0.00458	0.00429	0.00448
SRR23814156	0.0041	0.00389	0.00404	0.00398	0.00416	0.00435	0.0	0.00435	0.00402	0.00392	0.00402	0.00386	0.004
SRR23814157	0.00445	0.00439	0.00456	0.00453	0.00457	0.00465	0.00435	0.0	0.00434	0.00436	0.00448	0.00431	0.00431
SRR23814158	0.0041	0.00382	0.00416	0.00404	0.0042	0.00441	0.00402	0.00434	0.0	0.00408	0.0041	0.00385	0.00405
SRR23814160	0.00398	0.00396	0.00418	0.00418	0.00425	0.0043	0.00392	0.00435	0.00408	0.0	0.00415	0.00388	0.00402
SRR23814161	0.00415	0.00401	0.0043	0.00418	0.00427	0.00459	0.00402	0.00449	0.00411	0.00416	0.0	0.00399	0.00415
SRR23814162	0.00386	0.00388	0.00398	0.00402	0.00411	0.0043	0.00387	0.00431	0.00385	0.00388	0.00399	0.0	0.00385
SRR23814164	0.00406	0.00394	0.00412	0.00393	0.00414	0.00448	0.00401	0.00431	0.00405	0.00402	0.00414	0.00385	0.0
