sample	SRR10727867	SRR10727874	SRR10727875	SRR7296837	SRR7296908	SRR7296922	SRR7296925	SRR7296926	SRR7296936	SRR7296939	SRR7296941	SRR7297019	SRR7297028	SRR7297029	SRR7297030	SRR7297031	SRR7297032	SRR7297033	SRR7297034	SRR7297035	SRR7297062	SRR7297120	SRR7297148	SRR7297180	SRR7297282	SRR7297335	SRR7297404	SRR7297609	SRR7297615	SRR7297630	SRR7297632	SRR7297637	SRR7297639	SRR7297640	SRR7297642	SRR7297643	SRR8201154	SRR8809771	SRR8810286	SRR9647357	SRR9647438	SRR9647439	SRR9647576
SRR10727867	0.0	0.00914	0.00798	0.00809	0.00801	0.00929	0.00681	0.00944	0.00646	0.00856	0.00993	0.00755	0.00591	0.00735	0.00761	0.00875	0.00656	0.00899	0.00615	0.00677	0.00726	0.00807	0.00816	0.00881	0.00703	0.00795	0.00803	0.00683	0.00832	0.00863	0.00747	0.00896	0.00734	0.0091	0.00814	0.00768	0.00799	0.0	0.0	0.0091	0.00115	0.00078	0.00818
SRR10727874	0.00702	0.0	0.0	0.00116	0.00158	0.00573	0.00567	0.0	0.00511	0.0021	0.00746	0.00301	0.00527	0.00696	0.0072	0.00711	0.00621	0.00281	0.00597	0.00564	0.00501	0.00357	0.00176	0.00493	0.00202	0.00543	0.00551	0.0049	0.00564	0.00622	0.00536	0.00673	0.00708	0.0071	0.00652	0.00606	0.00543	0.00593	0.00621	0.00061	0.00782	0.00671	0.0
SRR10727875	0.0073	0.00078	0.0	0.00221	0.00256	0.00631	0.00614	0.00122	0.00563	0.00312	0.00776	0.00387	0.00589	0.00734	0.00753	0.00743	0.00664	0.00373	0.00632	0.00602	0.00552	0.00442	0.00272	0.00549	0.00293	0.00591	0.00589	0.00536	0.0061	0.00666	0.00585	0.00708	0.00736	0.00738	0.00677	0.00638	0.00591	0.00632	0.00664	0.00147	0.00819	0.00719	0.0
SRR7296837	0.00629	0.00196	0.00079	0.0	0.0	0.00385	0.00538	0.00186	0.00481	0.0	0.00796	0.00113	0.00396	0.00592	0.00602	0.00562	0.00473	0.0	0.00462	0.00514	0.0045	0.00159	0.0	0.00315	0.00074	0.00487	0.00596	0.00347	0.00618	0.00614	0.00507	0.00712	0.00618	0.00736	0.00492	0.00447	0.00422	0.00606	0.00657	0.0035	0.00735	0.00607	0.00063
SRR7296908	0.00652	0.00285	0.00168	0.0	0.0	0.004	0.00502	0.0028	0.00475	0.00097	0.00831	0.00152	0.0041	0.00597	0.00621	0.00597	0.00485	0.00095	0.00481	0.00529	0.00437	0.00202	0.0	0.00272	0.00111	0.00519	0.00541	0.00378	0.00628	0.00566	0.00534	0.00723	0.00626	0.00755	0.00522	0.00476	0.0038	0.00632	0.00674	0.00427	0.00751	0.00672	0.00127
SRR7296922	0.00778	0.00622	0.00527	0.00582	0.00561	0.0	0.00534	0.00686	0.00622	0.00455	0.0091	0.00227	0.00519	0.00657	0.00692	0.00543	0.00539	0.00465	0.00533	0.0056	0.00631	0.00256	0.00365	0.00489	0.00331	0.00647	0.00934	0.00359	0.00627	0.00793	0.00513	0.00676	0.00685	0.00669	0.00477	0.00433	0.00639	0.00885	0.00928	0.00833	0.00868	0.00801	0.00554
SRR7296925	0.0061	0.00741	0.00624	0.00652	0.00588	0.00614	0.0	0.00756	0.00551	0.00723	0.00823	0.00579	0.00462	0.00616	0.00649	0.00496	0.00537	0.00762	0.00505	0.00496	0.00152	0.00609	0.0058	0.00548	0.00511	0.00412	0.00202	0.00307	0.00269	0.00251	0.00302	0.00342	0.00652	0.00369	0.00438	0.00399	0.00455	0.00566	0.00604	0.00795	0.00711	0.00631	0.0063
SRR7296926	0.0087	0.00175	0.00067	0.00303	0.0035	0.00729	0.00739	0.0	0.00695	0.00279	0.00935	0.00491	0.00719	0.00876	0.00881	0.00829	0.00786	0.00404	0.00759	0.00745	0.00656	0.00546	0.00364	0.00529	0.00426	0.00614	0.00744	0.00658	0.00748	0.00793	0.00709	0.00844	0.00684	0.00869	0.00788	0.0075	0.00528	0.00801	0.00839	0.00103	0.00956	0.00852	0.00047
SRR7296936	0.00506	0.00617	0.00495	0.00501	0.00461	0.00636	0.00474	0.00636	0.0	0.00558	0.00688	0.00435	0.0015	0.00279	0.00339	0.00633	0.0024	0.00629	0.00192	0.0011	0.00477	0.00487	0.00486	0.00562	0.00345	0.005	0.00548	0.00433	0.00582	0.00622	0.00532	0.00669	0.00193	0.00684	0.00563	0.00522	0.00631	0.00429	0.00464	0.00629	0.00597	0.00516	0.00515
SRR7296939	0.00739	0.00323	0.00223	0.00081	0.00134	0.00481	0.00669	0.00228	0.00574	0.0	0.00871	0.00236	0.00516	0.00666	0.00694	0.00648	0.00563	0.00163	0.00557	0.00616	0.00592	0.00289	0.00101	0.00286	0.00177	0.00417	0.0072	0.00447	0.00691	0.00745	0.00616	0.00791	0.00535	0.0082	0.0058	0.00533	0.00402	0.00679	0.00735	0.00305	0.00845	0.00722	0.00256
SRR7296941	0.00759	0.00738	0.00608	0.00662	0.00666	0.00789	0.00637	0.00757	0.00578	0.00726	0.0	0.00595	0.0056	0.00705	0.0073	0.00669	0.00616	0.00792	0.00591	0.00602	0.00654	0.00655	0.00718	0.00673	0.00502	0.00549	0.00716	0.00465	0.00629	0.00805	0.0062	0.0072	0.00693	0.00747	0.00597	0.00558	0.00767	0.00678	0.00718	0.00737	0.00861	0.00761	0.00626
SRR7297019	0.00579	0.0037	0.00267	0.0019	0.00184	0.00229	0.00474	0.00411	0.00401	0.00203	0.00687	0.0	0.00341	0.00501	0.00545	0.00498	0.00398	0.0025	0.00389	0.00461	0.00437	0.0	0.00125	0.00346	0.0	0.0044	0.00593	0.00308	0.00566	0.00624	0.00479	0.00641	0.0052	0.00662	0.00441	0.00399	0.00448	0.00552	0.00597	0.00454	0.00675	0.00596	0.00266
SRR7297028	0.00511	0.00692	0.00588	0.00529	0.00508	0.00604	0.00457	0.00732	0.00222	0.00577	0.00741	0.0045	0.0	0.00162	0.00215	0.0062	0.00063	0.00613	0.00063	0.00328	0.00462	0.00502	0.0048	0.00567	0.00392	0.00521	0.00553	0.00419	0.00591	0.00608	0.00476	0.00671	0.00315	0.00679	0.00559	0.00505	0.00553	0.00456	0.00493	0.0075	0.00589	0.00525	0.00599
SRR7297029	0.00515	0.00731	0.00602	0.00615	0.00586	0.00632	0.00461	0.00787	0.00132	0.00588	0.00777	0.00456	0.0	0.0	0.00094	0.0062	0.0	0.00635	0.0	0.0023	0.00466	0.00519	0.00534	0.00588	0.0042	0.00587	0.00633	0.00426	0.00567	0.00626	0.00448	0.00639	0.0023	0.0067	0.00546	0.00508	0.0059	0.00458	0.0053	0.00842	0.00604	0.00537	0.00629
SRR7297030	0.0046	0.0067	0.00535	0.00538	0.00523	0.00591	0.00411	0.00706	0.00108	0.00531	0.00718	0.00417	0.0	0.0	0.0	0.00582	0.0	0.0055	0.0	0.00183	0.00425	0.00479	0.00477	0.00537	0.00394	0.00577	0.00573	0.00383	0.00536	0.00561	0.00415	0.00608	0.00205	0.00635	0.00518	0.00469	0.00535	0.00423	0.00486	0.00798	0.00556	0.00434	0.00575
SRR7297031	0.00652	0.00701	0.00562	0.00499	0.00501	0.00497	0.00266	0.00681	0.00511	0.00519	0.0068	0.00409	0.00427	0.00585	0.00635	0.0	0.00475	0.00568	0.00463	0.00403	0.00404	0.00479	0.00469	0.00342	0.00352	0.0	0.00532	0.0	0.00126	0.00574	0.00222	0.00199	0.00608	0.00224	0.0	0.0	0.00556	0.006	0.00657	0.00723	0.00779	0.00677	0.00566
SRR7297032	0.00486	0.00667	0.00551	0.00465	0.00442	0.00577	0.00426	0.00685	0.00199	0.00512	0.00675	0.00408	0.0	0.00116	0.0017	0.00564	0.0	0.00568	0.0	0.00274	0.0043	0.00463	0.00458	0.00534	0.00328	0.00473	0.00499	0.00395	0.00542	0.00578	0.00446	0.00614	0.00291	0.00636	0.00505	0.00465	0.0052	0.00402	0.0044	0.0068	0.00566	0.00507	0.0055
SRR7297033	0.00708	0.00248	0.00133	0.0	0.0	0.00427	0.00623	0.00222	0.00543	0.0	0.00863	0.00151	0.00451	0.00629	0.00631	0.00598	0.00513	0.0	0.005	0.00554	0.00512	0.00209	0.0	0.00372	0.00085	0.00524	0.00667	0.00396	0.00672	0.00694	0.00582	0.00763	0.00643	0.00776	0.00508	0.00485	0.00493	0.00668	0.00735	0.00383	0.00809	0.00685	0.00111
SRR7297034	0.00491	0.0069	0.0056	0.00468	0.0045	0.00613	0.00433	0.00693	0.00197	0.00544	0.00689	0.00438	0.0	0.00126	0.00184	0.00603	0.00079	0.00604	0.0	0.00286	0.0044	0.00498	0.00499	0.00545	0.00324	0.00476	0.00477	0.00418	0.00528	0.00588	0.00425	0.00601	0.00305	0.00632	0.00542	0.00501	0.00559	0.00376	0.00409	0.00642	0.00576	0.00493	0.00575
