sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814171	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814167	0.0	0.0	0.00289	0.00283	0.0	None	0.0	0.0	0.0	0.0	0.0	0.00287
SRR23814168	0.0	0.00304	0.0	0.00294	0.0	None	0.0	0.0	0.0	0.0	0.0	0.00305
SRR23814169	0.0	0.00289	0.00285	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0028
SRR23814170	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814171	None	None	None	None	None	0.0	None	None	None	None	None	None
SRR23814172	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814173	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814175	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814176	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814178	0.0	0.0	0.0	0.0	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
SRR23814179	0.0	0.00345	0.00348	0.00334	0.0	None	0.0	0.0	0.0	0.0	0.0	0.0
