sample	SRR23814166	SRR23814167	SRR23814168	SRR23814169	SRR23814170	SRR23814172	SRR23814173	SRR23814175	SRR23814176	SRR23814178	SRR23814179
SRR23814166	0.0	0.01441	0.0138	0.0147	0.00468	0.0045	0.0046	0.00464	0.0045	0.00455	0.01137
SRR23814167	0.01441	0.0	0.02076	0.02132	0.01441	0.01452	0.01443	0.01451	0.01428	0.01443	0.01881
SRR23814168	0.0138	0.02076	0.0	0.02086	0.01386	0.01368	0.01379	0.01388	0.01383	0.01369	0.01834
SRR23814169	0.0147	0.02132	0.02086	0.0	0.0146	0.01463	0.01462	0.01477	0.01462	0.01461	0.01894
SRR23814170	0.00468	0.01441	0.01386	0.0146	0.0	0.00461	0.00459	0.00469	0.00457	0.00463	0.01109
SRR23814172	0.0045	0.01452	0.01368	0.01463	0.00461	0.0	0.00445	0.00455	0.00459	0.00459	0.01121
SRR23814173	0.0046	0.01443	0.01379	0.01462	0.00459	0.00445	0.0	0.00464	0.00454	0.00463	0.01128
SRR23814175	0.00464	0.01451	0.01388	0.01477	0.00469	0.00455	0.00464	0.0	0.00452	0.00455	0.0113
SRR23814176	0.0045	0.01428	0.01383	0.01462	0.00457	0.00459	0.00454	0.00452	0.0	0.00463	0.01114
SRR23814178	0.00455	0.01443	0.01369	0.01461	0.00463	0.00459	0.00463	0.00455	0.00463	0.0	0.01127
SRR23814179	0.01137	0.01881	0.01834	0.01894	0.01109	0.01121	0.01128	0.0113	0.01114	0.01127	0.0
