sample	SRR27281412	SRR27281424	SRR27281435	SRR27281446	SRR27281455	SRR27281466	SRR27281477	SRR27281489	SRR27281516	SRR27281517
SRR27281412	0.0	0.00392	0.00373	0.00381	0.0045	0.00357	0.00391	0.00342	0.0035	0.00442
SRR27281424	0.00393	0.0	0.00362	0.00314	0.00596	0.0031	0.00272	0.00409	0.00341	0.00305
SRR27281435	0.00373	0.00361	0.0	0.0036	0.00482	0.00384	0.00405	0.0035	0.00362	0.00399
SRR27281446	0.00381	0.00314	0.0036	0.0	0.00587	0.00301	0.00255	0.00415	0.00331	0.00346
SRR27281455	0.00449	0.00593	0.0048	0.00584	0.0	0.00649	0.00631	0.00403	0.00548	0.00599
SRR27281466	0.00358	0.0031	0.00385	0.00301	0.00652	0.0	0.00304	0.00425	0.00332	0.00337
SRR27281477	0.00392	0.00273	0.00406	0.00255	0.00634	0.00304	0.0	0.00457	0.00348	0.00321
SRR27281489	0.00341	0.00408	0.0035	0.00414	0.00403	0.00424	0.00455	0.0	0.00396	0.00467
SRR27281516	0.0035	0.00341	0.00362	0.00331	0.0055	0.00332	0.00348	0.00396	0.0	0.00337
SRR27281517	0.00443	0.00305	0.004	0.00346	0.00601	0.00337	0.00321	0.00468	0.00337	0.0
